SL,Compounds,   PID,BBB-Class,References,,
1,SCC(=O)[C@@]1(O)[C@@]2(C)[C@H]([C@H]3[C@H]([C@H](O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,BBB-Class 1: Permeable
2,s1cc(nc1[NH]=C(N)N)C,6928896,1,Zhao et al.  J Chem Inf Model. 2007;47(1):170–175. DOI:10.1021/ci600312d,,BBB-Class 0: Non-permeable
3,s1cc(CSCCNC(NC)=[NH]C#N)nc1[NH]=C(N)N,NA,1,Zhao et al.  J Chem Inf Model. 2007;47(1):170–175. DOI:10.1021/ci600312d,,
4,s1c(ncc1)CCN,87653,1,Zhao et al.  J Chem Inf Model. 2007;47(1):170–175. DOI:10.1021/ci600312d,,
5,S=P(N1CC1)(N2CC2)N3CC3,5453,1,Zhao et al.  J Chem Inf Model. 2007;47(1):170–175. DOI:10.1021/ci600312d,,
6,S=C2NCCC(COc1ccccc1)O2,3033964,1,Zhao et al.  J Chem Inf Model. 2007;47(1):170–175. DOI:10.1021/ci600312d,,
7,S=C1O[C@@H](COc2ccccc2)CCN1,76956243,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
8,S=C1NC(=O)C(CC=C)([C@H]2C=CCCC2)C(=O)N1,76958938,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
9,S=C1NC(=O)C([C@@H](CCC)CC)(CC)C(=O)N1,76957224,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
10,S=C1NC(=O)C([C@@H](CCC)C)(CC=C)C(=O)N1,3033021,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
11,S=C1NC(=O)C([C@@H](CCC)C)(CC)C(=O)N1,3033017,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
12,S=C1N(CC=C)C(=O)[C@H](CC(C)C)N1,801221,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
13,S(SC[C@H]1OCCC1)/C(=C(/N(C=O)Cc1c(N)nc(C)nc1)\C)/CCO,6604305,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
14,S(S/C(=C(/N(C=O)Cc1c(N)nc(C)nc1)\C)/CCOC(=O)c1ccccc1)/C(=C(/N(C=O)Cc1c(N)nc(C)nc1)\C)/CCOC(=O)c1ccccc1,3034022,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
15,S(CCNCNC)Cc1c(C)[nH]cn1.N#CN,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
16,S(CCNC1=NCC(Cc2cnc(C)cc2)=CN1)Cc1oc(CN(C)C)cc1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
17,S(CCNC=N)C1=C(C(=O)O)N2C(=O)[C@H]([C@H](O)C)[C@H]2C1,104838,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
18,S(CCN[C@H](NC#N)NC)Cc1nc(N[C-]([N+H3])N)sc1,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
19,S(CCN[C@@H](NC)C[N+](=O)[O-])Cc1oc(CN(C)C)cc1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
20,S(CCN[C@@H](NC#N)NC)Cc1nc(N[C-]([N+H3])N)sc1,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
21,S(CCC1([C@H](CCC)C)C(=O)NC(=S)NC1=O)C,76958227,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
22,S(CC1=C(C(=O)OCC2=C(C)OC(=O)O2)N2C(=O)[C@@H](NC(=O)[C@H](OC(=O)[C@@H](N)C)c3ccccc3)[C@H]2SC1)c1sc(C)nn1,179697,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
23,S(CC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)Cn3nnnc3)[C@@H]2SC1)c1sc(C)nn1,7048626,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
24,S(CC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1)c1n(C)nnn1,12853014,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
25,S(CC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)[C@@H](NC(=O)N3C(=O)C(=O)N(CC)CC3)c3ccc(O)cc3)[C@H]2SC1)c1n(C)nnn1,7048628,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
26,S(CC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)[C@@H](N)c3ccc(O)cc3)[C@@H]2SC1)c1sc(C)nn1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
27,S(CC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)/C(=N/OC)/c3nc(N)sc3)[C@H]2SC1)c1sc(CC(=O)O)c(C)n1,13195836,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
28,S(CC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)/C(=N/OC)/c3nc(N)sc3)[C@H]2SC1)c1n(C)nnn1,12763167  ,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
29,S(CC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)/C(=N/OC)/c3nc(N)sc3)[C@H]2SC1)C=1N(C)NC(=O)C(=O)N=1,15817796,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
