,labels,SELFIES
0,1,[C][N][C][C][C][C@@H1][Branch2][Ring1][#Branch2][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][=Branch2][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][Ring2][Ring1][#Branch1]
1,0,[C][=C][C][N][C][=C][Branch2][Ring1][=N][C][=C][C][Branch1][S][C][=Branch1][C][=O][N][C][C][C][Branch1][C][C][C][C][Ring1][#Branch1][=C][C][=C][Ring1][#C][Ring2][Ring1][C][C][N][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][C][C][Ring2][Ring1][=Branch2]
2,1,[Cl][C][C][Cl]
3,1,[C][C][N][C][Branch1][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][S]
4,1,[C][=C][C][=C][C][=C][Ring1][=Branch1]
5,1,[C][C][C][C][C][C][C][C]
6,1,[C][C][Branch1][#Branch2][N][C][Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1]
7,1,[C][N][C][C][C][C][Ring1][Branch1][C][=C][C][=C][N][=C][Ring1][=Branch1]
8,1,[C][C][=C][C][=C][C][=C][Ring1][=Branch1]
9,1,[C][N][C][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
10,1,[C][C][C][Branch1][C][C][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][=N][Ring1][P]
11,1,[O][=C][Branch1][C][O][C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl]
12,1,[C][N][Branch1][C][C][C][C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#C]
13,1,[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1]
14,1,[C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][O][C][=C][C][=C][Branch1][#Branch2][C][C][O][C][C][C][C][Ring1][Ring1][C][=C][Ring1][=N]
15,1,[O][C][Branch1][O][C][C][N][C][C][C][C][C][Ring1][=Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][C][=C][C][Ring1][=Branch1][C][Ring1][Branch1]
16,1,[O][=C][Branch2][Ring1][N][C][C][C][N][C][C][C][Branch1][C][O][Branch1][N][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][C][C][Ring1][=C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1]
17,1,[C][C][Branch1][C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][#N]
18,1,[O][=C][C][C][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C][C][=Branch1][C][=O][N][Ring1][O][C][C][C][C][N][C][C][N][Branch1][=Branch2][C][=N][C][=C][C][=N][Ring1][=Branch1][C][C][Ring1][N]
19,1,[C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1]
20,1,[C][N][Branch1][C][C][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Ring1][#C]
21,1,[C][N][C][=Branch1][C][=O][C][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][Ring2][Ring1][Ring2]
22,1,[Cl][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][N][=C][N][C][C][N][Ring1][Branch1]
23,1,[C][N][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#C]
24,1,[O][=C][C][N][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][N][Ring2][Ring1][C]
25,1,[C][C][Branch1][C][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
26,1,[C][N][C][=Branch1][C][=O][C][N][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][Ring2][Ring1][Ring1]
27,1,[C][N][Branch1][C][C][C][C][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
28,1,[C][O][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][O][C][C][=Branch1][C][=O][C][Branch2][Ring1][Branch1][C][C][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][=N][C][Ring2][Ring1][Branch2]
29,1,[F][C][Branch1][C][F][O][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Cl]
30,1,[C][C][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][N][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][=C]
31,1,[O][C][C][N][C][C][N][Branch2][Ring2][Ring1][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][Ring2][Ring1][C][C][C][Ring2][Ring1][O]
32,1,[C][N][C][C][C][Branch2][Ring1][Ring2][O][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1]
33,1,[O][=C][Branch2][Ring1][N][C][C][C][N][C][C][C][Branch1][C][O][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][C][Ring1][=C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1]
34,1,[F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][Cl][Br]
